ma_golf_courses,,,,,,,,,,,,,,,,,,,,,,,,
name,address,city,state,zip,region,club_type,holes,par,course_rating,slope_rating,yardage,architect,description,price_min,price_max,price_tier,website_url,booking_url,lat,lng,photo_url,has_driving_range,has_practice_green,is_published
Highland Golf Links,10 Highland Light Road,North Truro,MA,2652,Cape Cod,public,9,,,,,Willard Small,,,,,https://www.highlandlinkscapecod.com/,https://apimanager-cc31.clubcaddie.com/webapi/view/hjedabab/slots?date=05%2F25%2F2026&player=1&ratetype=any&Interaction=6jornnb1b57jehnc9g9fcefdac,42.0432,-70.1036,,,,FALSE
Hillview Golf Course,149 North Street,North Reading,MA,1864,North Shore,public,18,,,,,William F. Mitchell,Book Tee Time: 978-664-4435,,,,https://www.hillviewgc.com/,,42.5805,-71.087,,,,FALSE
Holden Hills Country Club,1800 Main Street,Holden,MA,1522,Greater Worcester,public,18,,,,,William F. Mitchell,,,,,https://www.holdenhillsgolf.com/,https://www.holdenhillsgolf.com/tee-times,42.3764,-71.8723,,,,FALSE
Holly Ridge Golf Club,121 Country Club Road,Sandwich,MA,2563,Cape Cod,public,18,,,,,"Geoffrey S. Cornish, William G. Robinson",,,,,https://www.hollyridgegolf.com/,https://www.hollyridgegolf.com/book-a-tee-time,41.7196,-70.4779,,,,FALSE
Hopedale Country Club,90 Mill St,Hopedale,MA,1747,Greater Worcester,private,9,,,,,Geoffrey Cornish,Limited public tee times,,,,https://hopedalecc.com/,,42.127,-71.5358,,,,FALSE
Hopkinton Country Club,204 Saddle Hill Rd,Hopkinton,MA,1748,Greater Boston,private,18,,,,,Ian Scott-Taylor,,,,,https://www.hopkintoncc.com/,,42.2266,-71.5315,,,,FALSE
Hyannis Golf Course,1840 Iyannough Road,Hyannis,MA,2601,Cape Cod,public,18,,,,,"Geoffrey Cornish, Bill Robinson",,,,,https://www.barnstable.golf/hyannis-golf-course/,https://oldebn.chelseareservations.com/,41.6568,-70.2938,,,,FALSE
Hyannisport Club,2 Irving Ave,Hyannisport,MA,2647,Cape Cod,private,18,,,,,Donald Ross,,,,,https://www.hyannisportclub.com/,,41.6351,-70.3073,,,,FALSE
Indian Meadows Golf Course,275 Turnpike Road,Westborough,MA,1581,Greater Worcester,public,9,,,,,Geoffrey Cornish,,,,,https://www.indianmeadowsgolfclub.com/,https://apimanager-cc31.clubcaddie.com/webapi/view/jjedabab/slots?date=05%2F25%2F2026&player=1&ratetype=any&Interaction=6jornnb1b57jehnc9g9fcefdac,42.2662,-71.6092,,,,FALSE
Indian Pond Country Club,60 Country Club Way,Kingston,MA,2364,South Shore,private,18,,,,,Damian Pascuzzo,,,,,https://www.indianpondcountryclub.com/Club/Scripts/Home/home.asp,,41.9781,-70.7461,,,,FALSE
Indian Ridge Country Club,73 Lovejoy Road,Andover,MA,1810,North Shore,private,18,,,,,Geoffrey S. Cornish,,,,,https://www.indianridgecountryclub.us/,,42.6496,-71.166,,,,FALSE
Ipswich Country Club,148 Country Club Way,Ipswich,MA,1938,North Shore,private,18,,,,,Robert Trent Jones Sr.,,,,,https://www.invitedclubs.com/clubs/ipswich-country-club,,42.6829,-70.8473,,,,FALSE
John F. Parker Golf Course,17 Fisher Street,Taunton,MA,2780,South Shore,public,9,35,,,,Geoffrey Cornish,Call for tee time 508-822-1797,,,,https://johnfparkergc.com/,,41.9099,-71.1189,,,,FALSE
Juniper Hill Golf Course,202 Brigham Street,Northboro,MA,1532,Greater Worcester,public,36,,,,,Homer Darling,,,,,https://www.juniperhillgc.com/,https://juniperhill.cps.golf/onlineresweb/search-teetime?TeeOffTimeMin=0&TeeOffTimeMax=23.999722222222225,42.3301,-71.6352,,,,FALSE
Kelley Greens Golf Course,1 Willow Road,Nahant,MA,1908,North Shore,public,9,,,,,Gordon G. Lewis,,,,,https://www.kelleygreensgolf.com/,https://www.golfnow.com/tee-times/facility/16067-kelley-greens-golf-course-formerly-nahant-golf-club/search,42.436,-70.9209,,,,FALSE
Kernwood Country Club,1 Kernwood Street,Salem,MA,1970,North Shore,private,18,,,,,Donald Ross,,,,,https://www.kernwood.org/,,42.5147,-70.9075,,,,FALSE
Kettle Brook Golf Club,136 Marshall St,Paxton,MA,1612,Greater Worcester,public,18,,,,,Brian Silva,,,,,https://kettlebrookgolfclub.com/,https://foreupsoftware.com/index.php/booking/20840#/login,42.3152,-71.9345,,,,FALSE
Kings Way Golf Club,81 Kings Circuit,Yarmouth Port,MA,2675,Cape Cod,public,18,,,,,Brian Silva,,,,,https://www.kingswaygc.com/,https://kings-way-golf-club.book.teeitup.com/?course=8376&date=2026-05-25&max=999999,41.7076,-70.23,,,,FALSE
Lakeville Country Club,44 Clear Pond Road,Lakeville,MA,2347,South Shore,public,18,,,,,Geoffrey Cornish,,,,,https://www.lakevillecountryclub.com/,https://www.lakevillecountryclub.com/teetimes/,41.841,-70.9561,,,,FALSE
LeBaron Hills Country Club,183 Rhode Island Road,Lakeville,MA,2347,South Shore,private,18,,,,,Cornish Silva Mungeam,,,,,https://www.lebaronhills.com/about-us,,41.841,-70.9561,,,,FALSE
Ledgemont Country Club,131 Brown Avenue,Seekonk,MA,2771,South Shore,private,18,,,,,Alfred Tull,,,,,https://www.ledgemontcc.com/Club/Scripts/Home/home.asp,,41.8401,-71.3188,,,,FALSE
Leo J. Martin Golf Course,190 Park Road,Weston,MA,2493,Greater Boston,public,18,,,,,Donald J. Ross,,,,,https://www.mass.gov/locations/leo-j-martin-memorial-golf-course,https://leo-j-martin-memorial-golf-course.book.teeitup.com/?course=17926&date=2026-05-25&max=999999,42.3578,-71.2954,,,,FALSE
Lexington Golf Club,55 Hill Street,Lexington,MA,2421,Greater Boston,private,9,,,,,,,,,,https://lexingtongc.com/,,42.443,-71.2349,,,,FALSE
Little Harbor Golf Course,1 Little Harbor Drive,Wareham,MA,2571,South Shore,public,18,,,,,Richard Bowler,,,,,https://www.littleharborgolf.com/,https://www.littleharborgolf.com/book-tee-times/,41.7666,-70.7007,,,,FALSE
Long Meadow Golf Club,165 Havilah St,Lowell,MA,1852,North Shore,private,9,,,,,Alexander H. Findlay,,,,,https://www.longmeadowgolfclub.com/,,42.6285,-71.2965,,,,FALSE
Longmeadow Country Club,400 Shaker Rd,Longmeadow,MA,1106,Greater Springfield,private,18,,,,,Donald Ross,,,,,https://www.longmeadowcc.com/,,42.0506,-72.5659,,,,FALSE
Ludlow Country Club,1 Tony Lema Dr,Ludlow,MA,1056,Greater Springfield,private,18,,,,,Donald Ross,,,,,https://www.ludlowcountryclub.com/,,42.192,-72.4587,,,,FALSE
Marion Golf Club,10 South Drive,Marion,MA,2738,South Shore,public,9,,,,,George C. Thomas Jr,,,,,https://www.mariongolfclub.com/,https://foreupsoftware.com/index.php/booking/21400/7582#teetimes,41.7181,-70.7604,,,,FALSE
Marlborough Country Club,200 Concord Road,Marlborough,MA,1752,Greater Worcester,private,18,,,,,"Wayne Stiles, Geoffrey Cornish",,,,,https://marlboroughcc.com/,,42.3459,-71.5509,,,,FALSE
Marshfield Country Club,515 Moraine Street,Marshfield,MA,2050,South Shore,private,18,70,,,,Wayne Stiles,,,,,https://www.marshfieldcc.com/,,42.1111,-70.7131,,,,FALSE
Maynard Golf Course,50 Brown Street,Maynard,MA,1754,Greater Boston,public,9,,,,,Wayne Stiles,,,,,https://www.maynardgolf.com/,https://maynard-golf-course.book.teeitup.golf/?course=15974&date=2026-05-25&max=999999,42.4285,-71.4577,,,,FALSE
Meadow Brook Golf Club,292 Grove St,Reading,MA,1867,North Shore,private,9,,,,,Alexander H. Findlay,,,,,https://www.meadowbrookgolfclub.org/,,42.5333,-71.1036,,,,FALSE
Merrimack Valley Golf Club,210 Howe St,Methuen,MA,1844,North Shore,public,18,,,,,Donald Ross,,,,,https://merrimackvalleygolfclub.com/,https://merrimack-valley-golf-club.book.teeitup.com/?course=16619&date=2026-05-25&max=999999,42.7319,-71.1858,,,,FALSE
Miacomet Golf Course,12 W. Miacomet Road,Nantucket,MA,2554,Cape Cod,public,18,,,,,Alex Findlay,,,,,https://www.miacometgolf.com/,https://miacomet.ezlinksgolf.com/index.html#!/search,41.3157,-70.1197,,,,FALSE
Mill Valley Golf Links,380 Mill Valley Road,Belchertown,MA,1007,Greater Springfield,public,18,,,,,Geoffrey Cornish,,,,,https://mill-valley-golf-links.square.site/,https://millval.chelseareservations.com/,42.2748,-72.4019,,,,FALSE
Mink Meadows Golf Club,320 Golf Club Road,Vineyard Haven,MA,2568,Cape Cod,public,9,,,,,Wayne Stiles,,,,,https://www.minkmeadowsgc.com/,https://foreupsoftware.com/index.php/booking/20035/3294#teetimes,41.4149,-70.6308,,,,FALSE
Monoosnock Country Club,40 Monoosnock Ave,Leominster,MA,1453,Greater Worcester,public,9,,,,,Wayne Stiles,,,,,https://monoosnockcountryclub.com/,https://monoosnockcountryclub.teesnap.net/,42.5245,-71.7722,,,,FALSE
Mount Hood Golf Club,100 Slayton Rd,Melrose,MA,2176,Greater Boston,public,18,,,,,,,,,,https://mthoodgolfclub.com/,https://fox.tenfore.golf/mounthood,42.4576,-71.0542,,,,FALSE
Mount Pleasant Golf Club,141 Staples St,Lowell,MA,1850,North Shore,private,9,,,,,John Watson,,,,,https://mpgc.net/,,42.6556,-71.3035,,,,FALSE
Myopia Hunt Club,435 Bay Road,South Hamilton,MA,1982,North Shore,private,18,,,,,Herbert Leeds,,,,,https://www.myopiahuntclub.com/Club/Scripts/Home/home.asp,,42.6268,-70.8602,,,,FALSE
Nabnasset Lake Country Club,47 Oak Hill Road,Westford,MA,1886,North Shore,private,9,,,,,,,,,,https://www.nabnassetlake.com/,,42.589,-71.4417,,,,FALSE
Nantucket Golf Club,250 Milestone Rd.,Siasconset,MA,2564,Cape Cod,private,18,,,,,Rees Jones,,,,,https://www.nantucketgolfclub.com/,,41.2623,-69.9668,,,,FALSE
Nashawtuc Country Club,1861 Sudbury Road,Concord,MA,1742,Greater Boston,private,18,,,,,Geoffrey S. Cornish,,,,,https://www.nashawtuc.com/,,42.4606,-71.3642,,,,FALSE
Needham Golf Club,49 Green Street,Needham,MA,2492,Greater Boston,private,9,,,,,Wayne Stiles,,,,,https://www.needhamgolfclub.com/,,42.2777,-71.2449,,,,FALSE
Nehoiden Golf Club,Wellesley Coll 106 Central St,Wellesley,MA,2481,Greater Boston,private,9,,,,,Wayne Stiles,,,,,https://nehoidengolf.com/,,42.3093,-71.2724,,,,FALSE
New England Country Club,180 Paine St,Bellingham,MA,2019,Greater Boston,public,18,,,,,Hale Irwin,,,,,https://newenglandcountryclub.com/,https://newenglandcountryclub.com/booking-your-round/,42.0765,-71.4722,,,,FALSE
New Meadows Golf Club,30 Wildes Road,Topsfield,MA,1983,North Shore,public,9,,,,,Philip A. Wogan,Call for tee time 978-877-9307,,,,https://newmeadowsgolf.com/,,42.6356,-70.9443,,,,FALSE
Newton Commonwealth Golf Course,212 Kenrick Street,Newton,MA,2458,Greater Boston,public,18,,,,,Donald Ross,The home of Kangaroo golf,,,,https://newtongc.com/,https://foreupsoftware.com/index.php/booking/21009/6440?_gl=1*147q40h*_ga*MjA5MjEwMjQwMS4xNzc5NzM1Njk3*_ga_WQPLP348DP*czE3Nzk3MzU2OTYkbzEkZzEkdDE3Nzk3MzU3MDYkajUwJGwwJGgw#teetimes,42.3534,-71.1836,,,,FALSE
Nonquitt Golf Club,6 Nonquitt Avenue,South Dartmouth,MA,2748,South Shore,private,9,,,,,"Geoffrey Cornish, Bill Ransom",Have to know a guy,,,,,,41.561,-70.981,,,,FALSE
Norfolk Golf Club,166 East Street,Westwood,MA,2090,Greater Boston,private,9,,,,,Brian Silva,,,,,https://www.norfolkgc.com/,,42.2212,-71.1994,,,,FALSE
North Andover Country Club,500 Great Pond Road,North Andover,MA,1845,North Shore,private,9,,,,,Donald Ross,,,,,https://www.northandovercc.com/,,42.673,-71.088,,,,FALSE
North Hill Country Club,29 Merry Ave,Duxbury,MA,2332,South Shore,public,9,,,,,William F. Mitchell,,,,,https://www.northhillcountryclub.com/,https://apimanager-cc31.clubcaddie.com/webapi/view/bafdabab/slots?date=05%2F25%2F2026&player=1&ratetype=any&Interaction=6jornnb1b57jehnc9g9fcefdac,42.0457,-70.6905,,,,FALSE
Northampton Country Club,135 Main St.,Leeds,MA,1053,Greater Springfield,public,9,,,,,Alex Findlay,,,,,https://hampgolf.com/,https://hampgolf.com/,42.3522,-72.7155,,,,FALSE
Northern Spy Golf Club,40 Scales Ln,Townsend,MA,1469,Greater Worcester,private,18,,,,,"Ted Manning, Mary Mills",,,,,https://northernspygc.com/,,42.6596,-71.7023,,,,FALSE
Northfield Golf Club,31 Holton Street,Northfield,MA,1360,Greater Springfield,private,9,,,,,Alexander H. Findlay,,,,,https://northfieldgolfcourse.com/,,42.6665,-72.4469,,,,FALSE
Norton Country Club,188 Oak St,Norton,MA,2766,South Shore,public,18,,,,,"Brian Silva, Geoffrey Cornish",,,,,https://nortoncountryclub.com/,https://norton.cps.golf/onlineresweb/search-teetime?TeeOffTimeMin=0&TeeOffTimeMax=23.999722222222225,41.9559,-71.1779,,,,FALSE
Norwood Country Club,400 Providence Highway,Norwood,MA,2062,Greater Boston,public,18,,,,,Samuel Mitchell,,,,,https://www.norwoodcc.com/,https://norwood-country-club.book.teeitup.golf/?course=5720&date=2026-05-25&max=999999,42.1819,-71.1967,,,,FALSE
Oak Hill Country Club,840 Oak Hill Road,Fitchburg,MA,1420,Greater Worcester,private,18,,,,,"Donald Ross, Wayne Stiles",,,,,https://www.oakhillcc.org/,,42.5828,-71.8066,,,,FALSE
Oakley Country Club,410 Belmont Street,Watertown,MA,2472,Greater Boston,private,18,,,,,Donald Ross,,,,,https://oakleycountryclub.org/,,42.3721,-71.1786,,,,FALSE
Ocean Edge Golf Club,832 Villages Dr,Brewster,MA,2631,Cape Cod,private,18,,,,,Nicklaus Design,Available to guests,,,,https://www.oceanedge.com/golf,,41.7469,-70.0695,,,,FALSE
Old Sandwich Golf Club,247 Old Sandwich Rd,Plymouth,MA,2360,South Shore,private,18,,,,,"Ben Crenshaw, Bill Coore",,,,,https://www.osgolfclub.com/,,41.8734,-70.6397,,,,FALSE
Olde Barnstable Fairgrounds Golf Course,1460 Route 149,Marstons Mills,MA,2648,Cape Cod,public,18,,,,,"Brian Silva, Geoffrey Cornish",,,,,https://www.barnstable.golf/olde-barnstable-fairgrounds-golf-course/,https://oldebn.chelseareservations.com/,41.6704,-70.4134,,,,FALSE
Olde Salem Greens Golf Course,75 Willson Street,Salem,MA,1970,North Shore,public,9,,,,,"Wayne Stiles, John Van Kleek",,,,,https://www.salemma.gov/Facilities/Facility/Details/Olde-Salem-Green-Public-Golf-Course-9,https://www.chronogolf.com/club/olde-salem-greens-golf-course?date=2026-05-25,42.5147,-70.9075,,,,FALSE
Olde Scotland Links,695 Pine St.,Bridgewater,MA,2324,South Shore,public,18,,,,,Brian Silva,,,,,https://www.oldescotlandlinks.com/,https://www.oldescotlandlinks.com/book-a-tee-time/,41.9706,-70.9732,,,,FALSE
Orchards Golf Club,18 Silverwood Terrace,South Hadley,MA,1075,Greater Springfield,private,18,,,,,Donald Ross,,,,,https://www.orchardsgolf.com/,,42.2586,-72.5759,,,,FALSE
Ould Newbury Golf Club,319 Newburyport Turnpike,Newburyport,MA,1950,North Shore,public,9,,,,,Jim Lowe,,,,,https://ouldnewbury.com/,https://foreupsoftware.com/index.php/booking/19969?_gl=1*1ma1b0a*_ga*MTUxMjgwOTAxLjE3Nzk3MzY3MzE.*_ga_10435WJ7F2*czE3Nzk3MzY3MzAkbzEkZzEkdDE3Nzk3MzY3NDUkajQ1JGwwJGgw*_ga_WQPLP348DP*czE3Nzk3MzY3MzAkbzEkZzEkdDE3Nzk3MzY3NDUkajQ1JGwwJGgw#/welcome,42.8142,-70.8745,,,,FALSE
Oyster Harbors Club,2067 Oyster Harbors,Osterville,MA,2655,Cape Cod,private,18,,,,,Donald Ross,,,,,https://www.oysterharborsclub.org/,,41.6358,-70.3911,,,,FALSE
Pakachoag Golf Club,15 Upland Street,Auburn,MA,1501,Greater Worcester,public,9,,,,,,,,,,https://pakachoaggolfcourse.com/,https://foreupsoftware.com/index.php/booking/22072/9821#teetimes,42.1957,-71.8461,,,,FALSE
Patriot Golf Course,200 Springs Road,Bedford,MA,1730,Greater Boston,public,9,,,,,Manuel Francis,,,,,https://hanscomfss.com/golf/,https://hanscomafb.cps.golf/,42.4999,-71.2753,,,,FALSE
Paul Harney Golf Club,74 Club Valley Drive,East Falmouth,MA,2536,Cape Cod,public,18,,,,,Paul Harney,Call the pro shop @ 508-563-3454,,,,https://www.paulharneygolfcourse.com/,,41.5997,-70.5623,,,,FALSE
Pawtucket Country Club,900 Armistice Blvd,Pawtucket,RI,2861,South Shore,private,18,,,,,Willie Park Jr.,For some reason a Mass Golf Affiliate,,,,https://www.pawtucketcountryclub.com/,,41.8783,-71.3539,,,,FALSE
Pembroke Country Club,94 West Elm St,Pembroke,MA,2359,South Shore,public,18,,,,,Phil Wogan,,,,,https://pembrokegolf.com/,https://foreupsoftware.com/index.php/booking/22650?_gl=1*ziyh4q*_ga*NTI4MjAyNTY3LjE3Nzk3Mzc1ODA.*_ga_WQPLP348DP*czE3Nzk3Mzc1ODAkbzEkZzAkdDE3Nzk3Mzc1ODAkajYwJGwwJGgw#/teetimes,42.0649,-70.7986,,,,FALSE
Pine Brook Country Club,42 Newton Street,Weston,MA,2493,Greater Boston,private,18,,,,,"Wayne Stiles, John Van Kleek",,,,,https://www.pbccma.com/,,42.3578,-71.2954,,,,FALSE
Pine Meadows Golf Club,255 Cedar Street,Lexington,MA,2421,Greater Boston,public,9,,,,,Donald Ross,,,,,https://www.pinemeadowsgolfclub.com/,https://www.golfrev.com/go/tee_times/?htc=381&courseid=3855&r=1,42.443,-71.2349,,,,FALSE
Pine Oaks Golf Club,68 Prospect Street,South Easton,MA,2375,South Shore,public,18,,,,,William G. Robinson,There are no Tee Times needed at Pine Oaks,,,,https://www.pineoaks.com/Club/Scripts/Home/home.asp,,42.0256,-71.1084,,,,FALSE
Pine Ridge Country Club,28 Pleasant Street,North Oxford,MA,1537,Greater Worcester,public,18,,,,,Philip A. Wogan,,,,,https://pineridgegolf.net/,https://pineridgegolf.teesnap.net/,42.1629,-71.8912,,,,FALSE
Pine Valley Country Club,136 Providence Street,Rehoboth,MA,2769,South Shore,public,9,,,,,,(508) 336-5064,,,,,,41.8432,-71.2446,,,,FALSE
Pinecrest Golf Course,212 Prentice St.,Holliston,MA,1746,Greater Boston,public,18,,,,,Ted Locke,,,,,https://pinecrestgolfclub.org/,https://pinecrestgolfclub.org/book-a-tee-time/,42.1974,-71.4412,,,,FALSE
Pinehills Golf Club,54 Clubhouse Dr,Plymouth,MA,2360,South Shore,public,36,,,,,Jack Nicklaus,,,,,https://www.pinehillsgolf.com/,https://www.pinehillsgolf.com/book-your-tee-time/,41.8734,-70.6397,,,,FALSE
Pleasant Valley Country Club,95 Armsby Road,Sutton,MA,1590,Greater Worcester,private,18,,,,,"Brian Ault, Tom Clark",,,,,https://www.pleasantvalleycc.com/,,42.1354,-71.7558,,,,FALSE
Plymouth Country Club,221 Warren Avenue,Plymouth,MA,2360,South Shore,private,18,,,,,Donald Ross,,,,,https://www.plymouthcc.net/,,41.8734,-70.6397,,,,FALSE
Pocasset Golf Club,24 Club House Dr,Pocasset,MA,2559,Cape Cod,private,18,,,,,Donald Ross,,,,,https://www.pocassetgolfclub.com/Club/Scripts/Home/home.asp,,41.6879,-70.6224,,,,FALSE
Ponkapoag Golf Course,2167 Washington Street,Canton,MA,2021,Greater Boston,public,36,,,,,Donald Ross,Someone with more money than god please fund a renovation,,,,https://www.mass.gov/locations/ponkapoag-golf-course,https://ponkapoag-golf-course.book.teeitup.com/?course=17927&date=2026-05-25&max=999999,42.1827,-71.1221,,,,FALSE
Poquoy Brook Golf Club,20 Leonard St,Lakeville,MA,2347,South Shore,public,18,,,,,"Geoffrey S. Cornish, William Robinson",,,,,https://www.poquoybrook.com/en/,https://www.foreupsoftware.com/index.php/booking/19579/1863#teetimes,41.841,-70.9561,,,,FALSE
Presidents Golf Course,357 West Squantum Street,Quincy,MA,2171,Greater Boston,public,18,,,,,"George Fazio, Thomas Fazio",,,,,https://www.presidentsgc.org/,https://www.presidentsgc.org/teetimes/,42.2961,-70.9997,,,,FALSE
Quaboag Country Club,70 Palmer Road Rte 32,Monson,MA,1057,Greater Springfield,public,9,,,,,"Geoffrey S. Cornish, William G. Robinson",,,,,,https://quaboagcountryclub.teesnap.net/,42.0955,-72.3129,,,,FALSE
Quail Hollow Golf & Country Club,1822 Old Turnpike Road,Oakham,MA,1068,Greater Worcester,public,18,,,,,Philip A. Wogan,Not sure this place exists ,,,,https://www.facebook.com/QuailHollowOakham/,https://www.golfnow.com/tee-times/facility/15927-quail-hollow-country-club/search#date=May+30+2026,42.3533,-72.0514,,,,FALSE
Quail Ridge Country Club,49 Skyline Dr,Acton,MA,1720,Greater Boston,public,9,,,,,Mark Mungeam,,,,,https://www.quailridgegolfclub.com/,https://quailridge-country-club.book.teeitup.com/?date=2026-05-25,42.4842,-71.4395,,,,FALSE
Quashnet Valley Country Club,309 Old Barnstable Road,Mashpee,MA,2649,Cape Cod,public,18,,,,,William G. Robinson,,,,,https://www.quashnetvalley.com/,https://quashnetvalleycc.teesnap.net/,41.6172,-70.4925,,,,FALSE
Red Tail Golf Club,15 Bulge Rd,Ayer,MA,1432,Greater Worcester,public,18,,,,,Brian Silva,,,,,https://www.redtailgolf.net/,https://redtailgc.cps.golf/onlineresweb/search-teetime?TeeOffTimeMin=0&TeeOffTimeMax=23,42.5629,-71.5688,,,,FALSE
Reedy Meadow Golf Course,195 Summer Street,Lynnfield,MA,1940,North Shore,public,9,,,,,,,,,,https://lynnfieldgolf.net/,https://foreupsoftware.com/index.php/booking/22515?_gl=1*1jagwv0*_ga*NjgxMjU5MjUwLjE3Nzk3MzgzMTY.*_ga_WQPLP348DP*czE3Nzk3MzgzMTYkbzEkZzAkdDE3Nzk3MzgzMTYkajYwJGwwJGgw#/teetimes,42.5382,-71.0305,,,,FALSE
Renaissance,377 Kenoza Street,Haverhill,MA,1830,North Shore,private,18,,,,,Brian Silva,,,,,https://renaissancema.com/,,42.7952,-71.0556,,,,FALSE
Reservation Golf Club,10 Reservation Rd,Mattapoisett,MA,2739,South Shore,private,9,,,,,Wayne Stiles,,,,,https://www.reservationgolfclub.com/,,41.6648,-70.8108,,,,FALSE
Ridder Farm Golf Club,390 Oak Street,East Bridgewater,MA,2333,South Shore,public,18,,,,,Henry Homan,,,,,https://www.ridderfarm.com/,https://ridder-farm-golf-club.book.teeitup.com/?course=4930&date=2026-05-25&max=999999,42.0337,-70.9425,,,,FALSE
Rochester Golf Course,323 Rounseville Road,Rochester,MA,2770,South Shore,public,18,,,,,Humphrey Tallman,Call for tee time 508-763-5155,,,,http://www.rochestergolf.net/,,41.7527,-70.8466,,,,FALSE
Rockland Golf Course,276 Plain St,Rockland,MA,2370,South Shore,public,18,,,,,Philip Wogan,,,,,https://www.rocklandgc.com/,https://rockland-golf-course.book.teeitup.golf/?course=11063&date=2026-05-25&max=999999,42.1288,-70.9124,,,,FALSE
Rockport Golf Club,36 Country Club Road,Rockport,MA,1966,North Shore,public,9,,,,,Philip Wogan,Golf Shop (978) 546-3340,,,,https://rockportgolf.com/,,42.6605,-70.6162,,,,FALSE
Round Hill Golf Links,307 Smith Neck Rd,S Dartmouth,MA,2748,South Shore,private,9,,,,,Melvin B Lucas Jr.,No Site,,,,,,41.561,-70.981,,,,FALSE
Rowley Country Club,235 Dodge Road,Rowley,MA,1969,North Shore,public,9,,,,,Phil Wogan,,,,,https://www.rowleycountryclub.com/,https://www.tee-on.com/PubGolf/servlet/com.teeon.teesheet.servlets.golfersection.WebBookingAllTimesLanding?FromTrailSearch=true&FromCourseWebsite=true&CourseCode=ROWL&CourseGroupID=10378&Referrer=www.rowleycountryclub.com,42.7179,-70.8954,,,,FALSE
Royal Crest Country Club,10 Rainbow Pond Drive,Walpole,MA,2081,Greater Boston,private,9,,,,,William Burdick,,,,,https://www.royalcrestcc.com/,,42.1508,-71.259,,,,FALSE
Sacconnesset Golf Club,132 Falmouth Woods Road,Falmouth,MA,2536,Cape Cod,private,18,,,,,Rees Jones,,,,,https://sacconnessetgolf.com/,,41.5997,-70.5623,,,,FALSE
Sagamore Spring Golf Club,1287 Main Street,Lynnfield,MA,1940,North Shore,public,18,,,,,"Louis K. Luff, Richard E. Luff",,,,,https://www.sagamoregolf.com/,https://fox.tenfore.golf/sagamorespring,42.5382,-71.0305,,,,FALSE
Salem Country Club,133 Forest Street,Peabody,MA,1960,North Shore,private,18,,,,,Donald Ross,,,,,https://www.salemcountryclub.org/,,42.5326,-70.9737,,,,FALSE
Sandwich Hollows Golf Club,1 Round Hill Road,East Sandwich,MA,2537,Cape Cod,public,18,,,,,"Melvin Lucas Jr., Robert Trent Jones Sr.",,,,,https://www.sandwichhollows.com/,https://www.sandwichhollows.com/book-your-tee-time/,41.73,-70.4367,,,,FALSE
Sandy Burr Country Club,103 Cochituate Road,Wayland,MA,1778,Greater Boston,public,18,,,,,Donald Ross,,,,,https://sandyburr.com/,https://sandyburr.teesnap.net/,42.3612,-71.3629,,,,FALSE
Sankaty Head Golf Club,100 Sankaty Road,Siasconset,MA,2564,Cape Cod,private,18,,,,,Emerson Armstrong,Shoutout Chris,,,,https://www.sankatyheadgc.com/,,41.2623,-69.9668,,,,FALSE
Sassamon Trace Golf Course,233 South Main St,Natick,MA,1760,Greater Boston,public,9,,,,,"Brian Silva, Geoffrey Cornish, Mark Mungeam",,,,,https://sassamontrace.com/,https://sassamontrace.com/,42.2872,-71.3523,,,,FALSE
Scituate Country Club,91 Driftway,Scituate,MA,2066,South Shore,private,9,,,,,F.G Pickering,,,,,https://www.scituatecc.com/Club/Scripts/Home/home.asp,,42.2075,-70.7757,,,,FALSE
Sconset Golf Course,260 Milestone Road,Nantucket,MA,2554,Cape Cod,public,9,,,,,"Alex Findlay, John Grout",,,,,https://www.miacometgolf.com/sconset-golf,https://sconsetgolf.ezlinksgolf.com/index.html#!/search#%2Fsearch,41.3157,-70.1197,,,,FALSE
Segregansett Country Club,85 Gulliver Street,Taunton,MA,2780,South Shore,private,18,,,,,"Geoffrey S. Cornish, William G. Robinson",,,,,https://www.segregansett.com/,,41.9099,-71.1189,,,,FALSE
Settlers Crossing Golf Course,994 Northfield Road,Lunenburg,MA,1462,Greater Worcester,public,9,,,,,,,,,,https://www.settlersgolf.com/,https://foreupsoftware.com/index.php/booking/19296/1396#teetimes,42.5871,-71.7209,,,,FALSE
Shaker Farms Country Club,866 Shaker Road,Westfield,MA,1085,Greater Springfield,public,18,,,,,Geoffrey S. Cornish,,,,,https://www.shakerfarmscc.com/,https://shakerfarms.cps.golf/onlineresweb/search-teetime?TeeOffTimeMin=0&TeeOffTimeMax=23.999722222222225,42.1627,-72.7714,,,,FALSE
Shaker Hills Country Club,146 Shaker Road,Harvard,MA,1451,Greater Worcester,public,18,,,,,Brian Silva,,,,,https://www.shakerhills.com/,https://www.shakerhills.com/book-a-tee-time,42.4985,-71.5819,,,,FALSE
Sharon Country Club,149 East Street,Sharon,CT,2067,Greater Boston,private,9,,,,,Wayne Stiles,,,,,https://www.sharoncountryclub.com/,,42.1111,-71.1858,,,,FALSE
Shining Rock Golf Club,91 Clubhouse Lane,Northbridge,MA,1534,Greater Boston,public,18,,,,,Patrick Sullivan,,,,,https://www.shiningrockgolf.com/,https://shiningrock.cps.golf/onlineresweb/search-teetime?TeeOffTimeMin=0&TeeOffTimeMax=23,42.1362,-71.6427,,,,FALSE
